X.1,School,Type,Applied,Offers,school_clean,URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL,OFSTEDRATING,OFSTEDLASTINSP,lat,lng
63,Mossbourne Community Academy,State,45,16,Mossbourne Community Academy,134693.0,Hackney,204.0,6905.0,2046905.0,Mossbourne Community Academy,100 Downs Park Road,Hackney,,London,E5 8JY,Open,,,Academy,Academy sponsor led,0.0,1.0,1.0,11.0,18.0,Mixed,Does not apply,Non-selective,Outstanding,29-09-2021,51.5515891,-0.0619967
64,Watford Grammar School for Boys,State ,52,16,Watford Grammar School for Boys,136276.0,Hertfordshire,919.0,5401.0,9195401.0,Watford Grammar School for Boys,Rickmansworth Road,,,Watford,WD18 7JF,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,Church of England,Non-selective,Outstanding,14-10-2021,51.6549092,-0.4142095
65,"Royal Grammar School, Buckinghamshire",State,59,16,Royal Grammar School,108549.0,Newcastle upon Tyne,391.0,6037.0,3916037.0,Royal Grammar School,Eskdale Terrace,,,Newcastle-upon-Tyne,NE2 4DX,Open,,,Independent school,Other independent school,1.0,1.0,1.0,7.0,19.0,Mixed,None,Not applicable,,,51.6411427,-0.7385954
65,"Royal Grammar School, Buckinghamshire",State,59,16,Royal Grammar School,136484.0,Buckinghamshire,825.0,5404.0,8255404.0,"The Royal Grammar School, High Wycombe",Amersham Road,,,High Wycombe,HP13 6QT,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,Good,10-10-2019,51.6411427,-0.7385954
66,"Wycombe Abbey School, High Wycombe",Independent,73,16,Wycombe Abbey School,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6260562,-0.750977
67,Haberdashers’ Boys’ School ,Independent,75,16,Haberdashers Boys School,117648.0,Hertfordshire,919.0,6221.0,9196221.0,Haberdashers' Boys' School,Butterfly Lane,Elstree,Hertfordshire,,WD6 3AF,Open,,,Independent school,Other independent school,1.0,1.0,1.0,5.0,18.0,Boys,None,Not applicable,,,51.65905610000001,-0.3157556
68,Hampton School,Independent ,80,16,Hampton School,102946.0,Richmond upon Thames,318.0,6071.0,3186071.0,Hampton School,Hanworth Road,,,Hampton,TW12 3HD,Open,,,Independent school,Other independent school,1.0,1.0,1.0,2.0,19.0,Boys,None,Not applicable,,,51.4283717,-0.3724012
69,Saffron Walden County High School,State,42,15,Saffron Walden County High School,136776.0,Essex,881.0,5408.0,8815408.0,Saffron Walden County High School,Audley End Road,,,Saffron Walden,CB11 4UH,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,None,Non-selective,Outstanding,17-05-2012,52.0172822,0.2307005
70,"King Edward’s School, Edgbaston",Independent ,59,15,King Edwards School,103584.0,Birmingham,330.0,6076.0,3306076.0,King Edward's School,Edgbaston Park Road,,,Birmingham,B15 2UA,Open,,,Independent school,Other independent school,0.0,1.0,1.0,11.0,18.0,Boys,Christian,Selective,,,52.4497611,-1.9215141
70,"King Edward’s School, Edgbaston",Independent ,59,15,King Edwards School,109374.0,Bath and North East Somerset,800.0,6010.0,8006010.0,"King Edward's School, Bath",North Road,Bath,,,BA2 6HU,Open,,,Independent school,Other independent school,1.0,1.0,1.0,3.0,19.0,Mixed,None,Not applicable,,,52.4497611,-1.9215141
